Unnamed: 0,Month,Inches,year,Location
0,January,2.85,2012,Hyde Park - Cleary Sq
1,February,0.88,2012,Hyde Park - Cleary Sq
2,March,1.72,2012,Hyde Park - Cleary Sq
3,April,3.31,2012,Hyde Park - Cleary Sq
4,May,3.47,2012,Hyde Park - Cleary Sq
5,June,4.95,2012,Hyde Park - Cleary Sq
6,July,3.94,2012,Hyde Park - Cleary Sq
7,August,4.12,2012,Hyde Park - Cleary Sq
8,September,3.63,2012,Hyde Park - Cleary Sq
9,October,4.16,2012,Hyde Park - Cleary Sq
10,November,1.41,2012,Hyde Park - Cleary Sq
11,December,5.57,2012,Hyde Park - Cleary Sq
12,January,2.69,2016,Hyde Park - Cleary Sq
13,February,4.02,2016,Hyde Park - Cleary Sq
14,March,3.1,2016,Hyde Park - Cleary Sq
15,April,3.55,2016,Hyde Park - Cleary Sq
16,May,2.98,2016,Hyde Park - Cleary Sq
17,June,1.54,2016,Hyde Park - Cleary Sq
18,July,1.38,2016,Hyde Park - Cleary Sq
19,August,1.6,2016,Hyde Park - Cleary Sq
20,September,1.84,2016,Hyde Park - Cleary Sq
21,October,7.06,2016,Hyde Park - Cleary Sq
22,November,2.65,2016,Hyde Park - Cleary Sq
23,December,3.13,2016,Hyde Park - Cleary Sq
24,January,1.93,2011,Hyde Park - Cleary Sq
25,February,4.2,2011,Hyde Park - Cleary Sq
26,March,2.56,2011,Hyde Park - Cleary Sq
27,April,4.72,2011,Hyde Park - Cleary Sq
28,May,3.86,2011,Hyde Park - Cleary Sq
29,June,4.91,2011,Hyde Park - Cleary Sq
30,July,2.73,2011,Hyde Park - Cleary Sq
31,August,10.46,2011,Hyde Park - Cleary Sq
32,September,6.62,2011,Hyde Park - Cleary Sq
33,October,13.26,2011,Hyde Park - Cleary Sq
34,November,5.23,2011,Hyde Park - Cleary Sq
35,December,4.23,2011,Hyde Park - Cleary Sq
36,January,4.26,2017,Hyde Park - Cleary Sq
37,February,2.11,2017,Hyde Park - Cleary Sq
38,March,3.68,2017,Hyde Park - Cleary Sq
39,April,6.27,2017,Hyde Park - Cleary Sq
40,May,4.39,2017,Hyde Park - Cleary Sq
41,June,5.36,2017,Hyde Park - Cleary Sq
42,July,3.46,2017,Hyde Park - Cleary Sq
43,August,2.0,2017,Hyde Park - Cleary Sq
44,September,3.02,2017,Hyde Park - Cleary Sq
45,October,6.35,2017,Hyde Park - Cleary Sq
46,November,1.92,2017,Hyde Park - Cleary Sq
47,December,2.27,2017,Hyde Park - Cleary Sq
48,January,2.38,2015,Hyde Park - Cleary Sq
49,February,0.49,2015,Hyde Park - Cleary Sq
50,March,2.43,2015,Hyde Park - Cleary Sq
51,April,2.53,2015,Hyde Park - Cleary Sq
52,May,0.15,2015,Hyde Park - Cleary Sq
53,June,3.64,2015,Hyde Park - Cleary Sq
54,July,3.2,2015,Hyde Park - Cleary Sq
55,August,2.13,2015,Hyde Park - Cleary Sq
56,September,3.32,2015,Hyde Park - Cleary Sq
57,October,2.01,2015,Hyde Park - Cleary Sq
58,November,2.24,2015,Hyde Park - Cleary Sq
59,December,4.25,2015,Hyde Park - Cleary Sq
60,January,1.4,2013,Hyde Park - Cleary Sq
61,February,3.5,2013,Hyde Park - Cleary Sq
62,March,2.43,2013,Hyde Park - Cleary Sq
63,April,1.96,2013,Hyde Park - Cleary Sq
64,May,3.1,2013,Hyde Park - Cleary Sq
65,June,10.26,2013,Hyde Park - Cleary Sq
66,July,4.71,2013,Hyde Park - Cleary Sq
67,August,2.53,2013,Hyde Park - Cleary Sq
68,September,4.36,2013,Hyde Park - Cleary Sq
69,October,0.91,2013,Hyde Park - Cleary Sq
70,November,3.14,2013,Hyde Park - Cleary Sq
71,December,4.39,2013,Hyde Park - Cleary Sq
72,January,2.58,2014,Hyde Park - Cleary Sq
73,February,2.73,2014,Hyde Park - Cleary Sq
74,March,4.58,2014,Hyde Park - Cleary Sq
75,April,3.54,2014,Hyde Park - Cleary Sq
76,May,2.9,2014,Hyde Park - Cleary Sq
77,June,2.21,2014,Hyde Park - Cleary Sq
78,July,5.94,2014,Hyde Park - Cleary Sq
79,August,1.31,2014,Hyde Park - Cleary Sq
80,September,0.38,2014,Hyde Park - Cleary Sq
81,October,7.54,2014,Hyde Park - Cleary Sq
82,November,5.7,2014,Hyde Park - Cleary Sq
83,December,6.92,2014,Hyde Park - Cleary Sq
84,December,0.0,2010,Hyde Park - Cleary Sq
85,January,3.97,2018,Hyde Park - Cleary Sq
86,February,3.97,2018,Hyde Park - Cleary Sq
87,March,6.06,2018,Hyde Park - Cleary Sq
88,April,5.78,2018,Hyde Park - Cleary Sq
89,May,1.98,2018,Hyde Park - Cleary Sq
90,June,2.76,2018,Hyde Park - Cleary Sq
91,July,3.56,2018,Hyde Park - Cleary Sq
92,August,4.34,2018,Hyde Park - Cleary Sq
93,September,7.02,2018,Hyde Park - Cleary Sq
94,October,5.15,2018,Hyde Park - Cleary Sq
95,November,9.61,2018,Hyde Park - Cleary Sq
96,December,3.38,2018,Hyde Park - Cleary Sq
0,December,0.0,2010,Roslindale - Roslindale Sq
1,January,1.52,2013,Roslindale - Roslindale Sq
2,February,4.03,2013,Roslindale - Roslindale Sq
3,March,2.56,2013,Roslindale - Roslindale Sq
4,April,1.92,2013,Roslindale - Roslindale Sq
5,May,3.7,2013,Roslindale - Roslindale Sq
6,June,10.24,2013,Roslindale - Roslindale Sq
7,July,3.44,2013,Roslindale - Roslindale Sq
8,August,2.11,2013,Roslindale - Roslindale Sq
9,September,3.68,2013,Roslindale - Roslindale Sq
10,October,0.79,2013,Roslindale - Roslindale Sq
11,November,3.14,2013,Roslindale - Roslindale Sq
12,December,4.53,2013,Roslindale - Roslindale Sq
13,January,4.55,2017,Roslindale - Roslindale Sq
14,February,2.21,2017,Roslindale - Roslindale Sq
15,March,3.61,2017,Roslindale - Roslindale Sq
16,April,6.91,2017,Roslindale - Roslindale Sq
17,May,4.44,2017,Roslindale - Roslindale Sq
18,June,5.14,2017,Roslindale - Roslindale Sq
19,July,3.09,2017,Roslindale - Roslindale Sq
20,August,2.09,2017,Roslindale - Roslindale Sq
21,September,4.27,2017,Roslindale - Roslindale Sq
22,October,5.91,2017,Roslindale - Roslindale Sq
23,November,1.94,2017,Roslindale - Roslindale Sq
24,December,2.34,2017,Roslindale - Roslindale Sq
25,January,3.01,2012,Roslindale - Roslindale Sq
26,February,0.97,2012,Roslindale - Roslindale Sq
27,March,1.69,2012,Roslindale - Roslindale Sq
28,April,3.34,2012,Roslindale - Roslindale Sq
29,May,3.53,2012,Roslindale - Roslindale Sq
30,June,5.25,2012,Roslindale - Roslindale Sq
31,July,3.62,2012,Roslindale - Roslindale Sq
32,August,3.51,2012,Roslindale - Roslindale Sq
33,September,3.56,2012,Roslindale - Roslindale Sq
34,October,4.48,2012,Roslindale - Roslindale Sq
35,November,1.37,2012,Roslindale - Roslindale Sq
36,December,6.33,2012,Roslindale - Roslindale Sq
37,January,2.13,2011,Roslindale - Roslindale Sq
38,February,3.28,2011,Roslindale - Roslindale Sq
39,March,2.15,2011,Roslindale - Roslindale Sq
40,April,4.47,2011,Roslindale - Roslindale Sq
41,May,3.18,2011,Roslindale - Roslindale Sq
42,June,5.43,2011,Roslindale - Roslindale Sq
43,July,2.1,2011,Roslindale - Roslindale Sq
44,August,9.92,2011,Roslindale - Roslindale Sq
45,September,7.03,2011,Roslindale - Roslindale Sq
46,October,8.02,2011,Roslindale - Roslindale Sq
47,November,4.38,2011,Roslindale - Roslindale Sq
48,December,3.76,2011,Roslindale - Roslindale Sq
49,January,2.6,2014,Roslindale - Roslindale Sq
50,February,2.8,2014,Roslindale - Roslindale Sq
51,March,4.53,2014,Roslindale - Roslindale Sq
52,April,3.67,2014,Roslindale - Roslindale Sq
53,May,3.12,2014,Roslindale - Roslindale Sq
54,June,2.03,2014,Roslindale - Roslindale Sq
55,July,6.07,2014,Roslindale - Roslindale Sq
56,August,1.67,2014,Roslindale - Roslindale Sq
57,September,0.53,2014,Roslindale - Roslindale Sq
58,October,6.8,2014,Roslindale - Roslindale Sq
59,November,5.71,2014,Roslindale - Roslindale Sq
60,December,7.37,2014,Roslindale - Roslindale Sq
61,January,3.61,2018,Roslindale - Roslindale Sq
62,February,4.0,2018,Roslindale - Roslindale Sq
63,March,6.0,2018,Roslindale - Roslindale Sq
64,April,5.99,2018,Roslindale - Roslindale Sq
65,May,2.34,2018,Roslindale - Roslindale Sq
66,June,2.76,2018,Roslindale - Roslindale Sq
67,July,4.58,2018,Roslindale - Roslindale Sq
68,August,4.44,2018,Roslindale - Roslindale Sq
69,September,6.71,2018,Roslindale - Roslindale Sq
70,October,5.05,2018,Roslindale - Roslindale Sq
71,November,10.11,2018,Roslindale - Roslindale Sq
72,December,3.37,2018,Roslindale - Roslindale Sq
73,January,2.41,2015,Roslindale - Roslindale Sq
74,February,0.7,2015,Roslindale - Roslindale Sq
75,March,2.38,2015,Roslindale - Roslindale Sq
76,April,2.43,2015,Roslindale - Roslindale Sq
